"Hypothesis","Network","Summary_node","Strength_EBIC_AND","Strength_CV_AND","Strength_CV_OR","CI_lower_EBIC_AND","CI_lower_CV_AND","CI_lower_CV_OR","CI_upper_EBIC_AND","CI_upper_CV_AND","CI_upper_CV_OR","Rank_EBIC_AND","Rank_CV_AND","Rank_CV_OR","Verdict_EBIC_AND","Verdict_CV_AND","Verdict_CV_OR","Verdicts_identical","Ranks_identical"
"H1","Study1_SUSPECTS_DEU","CM",0.685,0.684,0.684,0.615,0.635,0.637,0.726,0.792,0.794,9,9,9,"falsified","inconclusive","inconclusive",FALSE,TRUE
"H1","Study1_SUSPECTS_ESP","CM",0.499,0.516,0.524,0.444,0.479,0.488,0.561,0.589,0.586,9,9,9,"falsified","falsified","falsified",TRUE,TRUE
"H1","Study1_SUSPECTS_FRA","CM",0.734,0.757,0.757,0.696,0.709,0.713,0.804,0.883,0.888,8,8,8,"inconclusive","inconclusive","inconclusive",TRUE,TRUE
"H1","Study1_SUSPECTS_GBR","CM",0.63,0.64,0.64,0.574,0.602,0.61,0.68,0.731,0.731,9,9,9,"falsified","inconclusive","inconclusive",FALSE,TRUE
"H1","Study1_SUSPECTS_ITA","CM",0.62,0.617,0.617,0.557,0.575,0.582,0.658,0.722,0.725,9,9,9,"falsified","falsified","falsified",TRUE,TRUE
"H1","Study1_SUSPECTS_POL","CM",0.482,0.522,0.531,0.446,0.489,0.497,0.569,0.612,0.608,9,9,9,"falsified","falsified","falsified",TRUE,TRUE
"H1","Study1_SUSPECTS_SWE","CM",0.602,0.6,0.6,0.539,0.556,0.562,0.646,0.715,0.715,9,9,9,"falsified","falsified","falsified",TRUE,TRUE
"H1","Study1_SUSPECTS_USA","CM",0.683,0.683,0.683,0.625,0.635,0.644,0.723,0.727,0.725,9,9,9,"falsified","falsified","falsified",TRUE,TRUE
"H1","Study2_ACTS_USA","CM",1.002,1.015,1.015,0.928,0.951,0.956,1.074,1.082,1.087,1,1,1,"inconclusive","inconclusive","inconclusive",TRUE,TRUE
"H1","Study3_CMQ_Australia","CM",0.202,0.197,0.197,0.093,0.139,0.143,0.278,0.395,0.381,5,5,5,"falsified","falsified","falsified",TRUE,TRUE
"H1","Study3_CMQ_Brazil","CM",0.207,0.308,0.308,0.112,0.156,0.162,0.387,0.44,0.456,5,5,5,"falsified","falsified","falsified",TRUE,TRUE
"H1","Study3_CMQ_Canada","CM",0.439,0.534,0.534,0.382,0.4,0.403,0.638,0.64,0.643,5,5,5,"falsified","falsified","falsified",TRUE,TRUE
"H1","Study3_CMQ_Germany","CM",0.38,0.444,0.461,0.291,0.33,0.337,0.459,0.583,0.573,5,5,5,"falsified","falsified","falsified",TRUE,TRUE
"H1","Study3_CMQ_Lebanon","CM",0.187,0.274,0.286,0.091,0.181,0.202,0.369,0.397,0.405,5,5,5,"falsified","falsified","falsified",TRUE,TRUE
"H1","Study3_CMQ_Morocco","CM",0.349,0.541,0.541,0.305,0.388,0.389,0.655,0.676,0.668,5,5,5,"inconclusive","inconclusive","inconclusive",TRUE,TRUE
"H1","Study3_CMQ_South Africa","CM",0.229,0.316,0.328,0.129,0.194,0.206,0.451,0.482,0.479,5,5,5,"falsified","falsified","falsified",TRUE,TRUE
"H1","Study3_CMQ_United States","CM",0.607,0.598,0.598,0.499,0.519,0.524,0.683,0.755,0.748,5,5,5,"inconclusive","inconclusive","inconclusive",TRUE,TRUE
"H2","Study1_SUSPECTS_DEU","CB",0.972,0.977,0.977,0.911,0.912,0.915,1.042,1.035,1.039,1,1,1,"inconclusive","inconclusive","inconclusive",TRUE,TRUE
"H2","Study1_SUSPECTS_ESP","CB",0.716,0.716,0.716,0.663,0.658,0.661,0.771,0.778,0.78,5,5,5,"inconclusive","inconclusive","inconclusive",TRUE,TRUE
"H2","Study1_SUSPECTS_FRA","CB",1.003,1.003,1.003,0.945,0.941,0.943,1.065,1.062,1.062,1,1,1,"supported","supported","supported",TRUE,TRUE
"H2","Study1_SUSPECTS_GBR","CB",0.929,0.929,0.929,0.872,0.869,0.873,0.983,0.981,0.983,1,1,1,"inconclusive","inconclusive","inconclusive",TRUE,TRUE
"H2","Study1_SUSPECTS_ITA","CB",0.853,0.853,0.853,0.793,0.796,0.795,0.91,0.912,0.91,3,3,3,"inconclusive","inconclusive","inconclusive",TRUE,TRUE
"H2","Study1_SUSPECTS_POL","CB",0.738,0.751,0.751,0.681,0.699,0.698,0.812,0.81,0.816,5,5,5,"inconclusive","inconclusive","inconclusive",TRUE,TRUE
"H2","Study1_SUSPECTS_SWE","CB",0.85,0.85,0.85,0.78,0.788,0.79,0.91,0.913,0.914,3,3,3,"inconclusive","inconclusive","inconclusive",TRUE,TRUE
