"Dataset","Chi_Square","P_Value","CFI","TLI","RMSEA","SRMR","BIC"
"Study1_SUSPECTS_DEU",465.395222050527,0,0.981447053670331,0.977388596660715,0.0499972113392903,0.0326598970638411,86765.5848144516
"Study1_SUSPECTS_ESP",341.967809055863,0,0.983996924050849,0.980496251186972,0.0415481744661512,0.0267573320652303,89918.7878801004
"Study1_SUSPECTS_FRA",448.476396766618,0,0.980529097685439,0.976269837804129,0.0489907885520923,0.0306519221079149,88763.1963414167
"Study1_SUSPECTS_GBR",343.41601640433,0,0.985591392669017,0.982439509815364,0.0417643028690064,0.0264078621486431,86368.9763761022
"Study1_SUSPECTS_ITA",464.666203517798,0,0.979499834537405,0.975015423342462,0.0500316150747049,0.0343970568470891,87510.9229391003
"Study1_SUSPECTS_POL",361.070744395707,0,0.983871455724402,0.980343336664115,0.0429606615617385,0.0346516139032873,88560.7142516289
"Study1_SUSPECTS_SWE",513.74058087513,0,0.978968924582829,0.974368376835322,0.0529753566199902,0.0335506755808047,85628.1475453341
"Study1_SUSPECTS_USA",245.226189898764,0,0.991274990290108,0.989366394416069,0.0336550692595822,0.0173976981744257,90003.2482668048
"Study2_ACTS_USA",603.207818846547,0,0.942887143513639,0.924409454650405,0.0910374921043255,0.0489197104062869,55109.3701126877
"Study3_CMQ_Australia",289.229219552932,0,0.929792830848667,0.90279007348277,0.100418450948381,0.0711314908404138,32607.4667941239
"Study3_CMQ_Brazil",276.837521954709,0,0.922799082512757,0.89310642194074,0.0985181810134517,0.0615667738506755,33777.9846463579
"Study3_CMQ_Canada",433.682823188955,0,0.923827576725273,0.894530490850378,0.126491544382202,0.0705881070506814,31360.4151179598
"Study3_CMQ_Germany",428.780566785034,0,0.923062951037095,0.893471778359055,0.124278817934519,0.0703559516570319,32389.2862242208
"Study3_CMQ_Lebanon",218.780391884874,0,0.917580833533803,0.885881154123727,0.0908165311642914,0.048326841147307,31259.212954184
"Study3_CMQ_Morocco",256.327122904633,0,0.907755217984706,0.872276455671132,0.0928302051105551,0.0563798916186033,36652.8147827393
"Study3_CMQ_South Africa",309.083306139467,0,0.916951140130999,0.885009270950613,0.105350342503231,0.058441897790023,33350.0937469302
"Study3_CMQ_United States",633.39755235974,0,0.858523495587139,0.804109455428346,0.154554059746019,0.10003425512866,33075.5119275984
