"Network","N_communities","N_unassigned","Partition"
"Study1_SUSPECTS_ITA",2,0,"cm_1:1 cm_2:1 cm_3:1 cm_4:1 cm_5:1 cb_1:2 cb_2:2 cb_3:2 cb_4:2 cb_5:2 cb_6:2 cb_7:2 cb_8:2"
"Study1_SUSPECTS_DEU",2,0,"cm_1:1 cm_2:1 cm_3:1 cm_4:1 cm_5:1 cb_1:2 cb_2:2 cb_3:2 cb_4:2 cb_5:2 cb_6:2 cb_7:2 cb_8:2"
"Study1_SUSPECTS_ESP",2,0,"cm_1:1 cm_2:1 cm_3:1 cm_4:1 cm_5:1 cb_1:2 cb_2:2 cb_3:2 cb_4:2 cb_5:2 cb_6:2 cb_7:2 cb_8:2"
"Study1_SUSPECTS_SWE",2,0,"cm_1:1 cm_2:1 cm_3:1 cm_4:1 cm_5:1 cb_1:2 cb_2:2 cb_3:2 cb_4:2 cb_5:2 cb_6:2 cb_7:2 cb_8:2"
"Study1_SUSPECTS_POL",2,0,"cm_1:1 cm_2:1 cm_3:1 cm_4:1 cm_5:1 cb_1:2 cb_2:2 cb_3:2 cb_4:2 cb_5:2 cb_6:2 cb_7:2 cb_8:2"
"Study1_SUSPECTS_FRA",2,0,"cm_1:1 cm_2:1 cm_3:1 cm_4:1 cm_5:1 cb_1:2 cb_2:2 cb_3:2 cb_4:2 cb_5:2 cb_6:2 cb_7:2 cb_8:2"
"Study1_SUSPECTS_GBR",2,0,"cm_1:1 cm_2:1 cm_3:1 cm_4:1 cm_5:1 cb_1:2 cb_2:2 cb_3:2 cb_4:2 cb_5:2 cb_6:2 cb_7:2 cb_8:2"
"Study1_SUSPECTS_USA",2,0,"cm_1:1 cm_2:1 cm_3:1 cm_4:1 cm_5:1 cb_1:2 cb_2:2 cb_3:2 cb_4:2 cb_5:2 cb_6:2 cb_7:2 cb_8:2"
"Study2_ACTS_USA",1,0,"cm_1:1 cm_2:1 cm_3:1 cm_4:1 cb_1:1 cb_2:1 cb_3:1 cb_4:1 cb_5:1 cb_6:1"
"Study3_CMQ_Australia",2,0,"cm_1:1 cm_2:1 cm_3:1 cm_4:1 cm_5:1 cb_1:2 cb_2:2 cb_3:2 cb_4:2"
"Study3_CMQ_Brazil",2,0,"cm_1:1 cm_2:1 cm_3:1 cm_4:1 cm_5:1 cb_1:2 cb_2:2 cb_3:2 cb_4:2"
"Study3_CMQ_Canada",3,0,"cm_1:1 cm_2:1 cm_3:2 cm_4:2 cm_5:2 cb_1:3 cb_2:3 cb_3:3 cb_4:3"
"Study3_CMQ_Germany",2,0,"cm_1:1 cm_2:1 cm_3:1 cm_4:1 cm_5:1 cb_1:2 cb_2:2 cb_3:2 cb_4:2"
"Study3_CMQ_Lebanon",2,0,"cm_1:1 cm_2:1 cm_3:1 cm_4:1 cm_5:1 cb_1:2 cb_2:2 cb_3:2 cb_4:2"
"Study3_CMQ_Morocco",2,0,"cm_1:1 cm_2:1 cm_3:1 cm_4:1 cm_5:1 cb_1:2 cb_2:2 cb_3:2 cb_4:2"
"Study3_CMQ_South Africa",2,0,"cm_1:1 cm_2:1 cm_3:1 cm_4:1 cm_5:1 cb_1:2 cb_2:2 cb_3:2 cb_4:2"
"Study3_CMQ_United States",3,1,"cm_1:1 cm_2:1 cm_3:2 cm_4:2 cm_5:2 cb_1:3 cb_2:3 cb_3:3 cb_4:NA"
