"Study","country","n"
"Study1_SUSPECTS","DEU",2509
"Study1_SUSPECTS","ESP",2516
"Study1_SUSPECTS","FRA",2503
"Study1_SUSPECTS","GBR",2503
"Study1_SUSPECTS","ITA",2501
"Study1_SUSPECTS","POL",2515
"Study1_SUSPECTS","SWE",2504
"Study1_SUSPECTS","USA",2500
"Study2_ACTS","USA",2020
"Study3_CMQ","Australia",1004
"Study3_CMQ","Brazil",994
"Study3_CMQ","Canada",980
"Study3_CMQ","Germany",1003
"Study3_CMQ","Lebanon",899
"Study3_CMQ","Morocco",1028
"Study3_CMQ","South Africa",981
"Study3_CMQ","United States",978
