"Hypothesis","Network","N_nodes","Summary_node","Rank","Is_highest","Is_lowest","CI_lower","CI_upper","CI_above_all","CI_below_all","Rank_CV","Same_rank"
"H1","Study1_SUSPECTS_DEU",9,"CM",9,FALSE,TRUE,0.615,0.726,FALSE,FALSE,9,TRUE
"H1","Study1_SUSPECTS_ESP",9,"CM",9,FALSE,TRUE,0.444,0.561,FALSE,TRUE,9,TRUE
"H1","Study1_SUSPECTS_FRA",9,"CM",8,FALSE,FALSE,0.696,0.804,FALSE,FALSE,8,TRUE
"H1","Study1_SUSPECTS_GBR",9,"CM",9,FALSE,TRUE,0.574,0.68,FALSE,FALSE,9,TRUE
"H1","Study1_SUSPECTS_ITA",9,"CM",9,FALSE,TRUE,0.557,0.658,FALSE,TRUE,9,TRUE
"H1","Study1_SUSPECTS_POL",9,"CM",9,FALSE,TRUE,0.446,0.569,FALSE,TRUE,9,TRUE
"H1","Study1_SUSPECTS_SWE",9,"CM",9,FALSE,TRUE,0.539,0.646,FALSE,TRUE,9,TRUE
"H1","Study1_SUSPECTS_USA",9,"CM",9,FALSE,TRUE,0.625,0.723,FALSE,TRUE,9,TRUE
"H1","Study2_ACTS_USA",7,"CM",1,TRUE,FALSE,0.928,1.074,FALSE,FALSE,1,TRUE
"H1","Study3_CMQ_Australia",5,"CM",5,FALSE,TRUE,0.093,0.278,FALSE,TRUE,5,TRUE
"H1","Study3_CMQ_Brazil",5,"CM",5,FALSE,TRUE,0.112,0.387,FALSE,TRUE,5,TRUE
"H1","Study3_CMQ_Canada",5,"CM",5,FALSE,TRUE,0.382,0.638,FALSE,TRUE,5,TRUE
"H1","Study3_CMQ_Germany",5,"CM",5,FALSE,TRUE,0.291,0.459,FALSE,TRUE,5,TRUE
"H1","Study3_CMQ_Lebanon",5,"CM",5,FALSE,TRUE,0.091,0.369,FALSE,TRUE,5,TRUE
"H1","Study3_CMQ_Morocco",5,"CM",5,FALSE,TRUE,0.305,0.655,FALSE,FALSE,5,TRUE
"H1","Study3_CMQ_South Africa",5,"CM",5,FALSE,TRUE,0.129,0.451,FALSE,TRUE,5,TRUE
"H1","Study3_CMQ_United States",5,"CM",5,FALSE,TRUE,0.499,0.683,FALSE,FALSE,5,TRUE
"H2","Study1_SUSPECTS_DEU",6,"CB",1,TRUE,FALSE,0.911,1.042,FALSE,FALSE,1,TRUE
"H2","Study1_SUSPECTS_ESP",6,"CB",5,FALSE,FALSE,0.663,0.771,FALSE,FALSE,5,TRUE
"H2","Study1_SUSPECTS_FRA",6,"CB",1,TRUE,FALSE,0.945,1.065,TRUE,FALSE,1,TRUE
"H2","Study1_SUSPECTS_GBR",6,"CB",1,TRUE,FALSE,0.872,0.983,FALSE,FALSE,1,TRUE
"H2","Study1_SUSPECTS_ITA",6,"CB",3,FALSE,FALSE,0.793,0.91,FALSE,FALSE,3,TRUE
"H2","Study1_SUSPECTS_POL",6,"CB",5,FALSE,FALSE,0.681,0.812,FALSE,FALSE,5,TRUE
"H2","Study1_SUSPECTS_SWE",6,"CB",3,FALSE,FALSE,0.78,0.91,FALSE,FALSE,3,TRUE
"H2","Study1_SUSPECTS_USA",6,"CB",1,TRUE,FALSE,0.892,1.012,FALSE,FALSE,1,TRUE
"H2","Study2_ACTS_USA",5,"CB",4,FALSE,FALSE,0.672,0.791,FALSE,FALSE,4,TRUE
"H2","Study3_CMQ_Australia",6,"CB",6,FALSE,TRUE,0.383,0.755,FALSE,FALSE,6,TRUE
"H2","Study3_CMQ_Brazil",6,"CB",6,FALSE,TRUE,0.172,0.501,FALSE,FALSE,6,TRUE
"H2","Study3_CMQ_Canada",6,"CB",6,FALSE,TRUE,0.438,0.731,FALSE,FALSE,6,TRUE
"H2","Study3_CMQ_Germany",6,"CB",6,FALSE,TRUE,0.37,0.725,FALSE,TRUE,6,TRUE
"H2","Study3_CMQ_Lebanon",6,"CB",6,FALSE,TRUE,0.077,0.357,FALSE,TRUE,6,TRUE
"H2","Study3_CMQ_Morocco",6,"CB",6,FALSE,TRUE,0.136,0.365,FALSE,TRUE,6,TRUE
"H2","Study3_CMQ_South Africa",6,"CB",6,FALSE,TRUE,0.131,0.353,FALSE,TRUE,6,TRUE
"H2","Study3_CMQ_United States",6,"CB",6,FALSE,TRUE,0.304,0.662,FALSE,TRUE,6,TRUE
